CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.070.698/0001-11;2013-12-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2012-01-01;2012-12-31;6.01;Caixa Líquido Atividades Operacionais;-25890.0000000000;S
00.070.698/0001-11;2013-12-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2013-01-01;2013-12-31;6.01;Caixa Líquido Atividades Operacionais;158410.0000000000;S
00.070.698/0001-11;2013-12-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2012-01-01;2012-12-31;6.01.01;Recebimento de Consumidores;2371184.0000000000;N
00.070.698/0001-11;2013-12-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2013-01-01;2013-12-31;6.01.01;Recebimento de Consumidores;2242884.0000000000;N
00.070.698/0001-11;2013-12-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2012-01-01;2012-12-31;6.01.02;Fornecedores - Materiais e Serviços;-208885.0000000000;N
00.070.698/0001-11;2013-12-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2013-01-01;2013-12-31;6.01.02;Fornecedores - Materiais e Serviços;-263023.0000000000;N
00.070.698/0001-11;2013-12-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2012-01-01;2012-12-31;6.01.03;Fornecedores - Energia Elétrica;-998651.0000000000;N
00.070.698/0001-11;2013-12-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2013-01-01;2013-12-31;6.01.03;Fornecedores - Energia Elétrica;-1107460.0000000000;N
00.070.698/0001-11;2013-12-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2012-01-01;2012-12-31;6.01.04;Contribuição de Iluminação Pública;-146763.0000000000;N
00.070.698/0001-11;2013-12-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2013-01-01;2013-12-31;6.01.04;Contribuição de Iluminação Pública;-85000.0000000000;N
00.070.698/0001-11;2013-12-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2012-01-01;2012-12-31;6.01.05;Salários e Encargos Sociais;-240147.0000000000;N
00.070.698/0001-11;2013-12-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2013-01-01;2013-12-31;6.01.05;Salários e Encargos Sociais;-263759.0000000000;N
00.070.698/0001-11;2013-12-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2012-01-01;2012-12-31;6.01.06;Rendimento de Aplicações Financeiras;2890.0000000000;N
00.070.698/0001-11;2013-12-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2013-01-01;2013-12-31;6.01.06;Rendimento de Aplicações Financeiras;11289.0000000000;N
00.070.698/0001-11;2013-12-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2012-01-01;2012-12-31;6.01.07;Pagamentos de Encargos da Dívida;-37326.0000000000;N
00.070.698/0001-11;2013-12-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2013-01-01;2013-12-31;6.01.07;Pagamentos de Encargos da Dívida;-27192.0000000000;N
00.070.698/0001-11;2013-12-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2012-01-01;2012-12-31;6.01.08;Dividendos e Juros Sobre Capital Próprio Recebidos;8585.0000000000;N
