CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2011-01-01;2011-12-31;6.01;Caixa Líquido Atividades Operacionais;14893.0000000000;S
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2012-01-01;2012-12-31;6.01;Caixa Líquido Atividades Operacionais;14192.0000000000;S
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2011-01-01;2011-12-31;6.01.01;Recebimentos de Consumidores;27360.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2012-01-01;2012-12-31;6.01.01;Recebimentos de Consumidores;54927.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2011-01-01;2011-12-31;6.01.02;Fornecedores - Materiais e Serviços;-31598.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2012-01-01;2012-12-31;6.01.02;Fornecedores - Materiais e Serviços;-43090.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2011-01-01;2011-12-31;6.01.03;Fornecedores - Energia Elétrica;0.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2012-01-01;2012-12-31;6.01.03;Fornecedores - Energia Elétrica;0.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2011-01-01;2011-12-31;6.01.04;Contribhuição de Iluminação Pública;0.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2012-01-01;2012-12-31;6.01.04;Contribhuição de Iluminação Pública;0.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2011-01-01;2011-12-31;6.01.05;Salários e Encargos Sociais;-4931.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2012-01-01;2012-12-31;6.01.05;Salários e Encargos Sociais;-5118.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2011-01-01;2011-12-31;6.01.06;Rendimento de Aplicações Financeiras;169.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2012-01-01;2012-12-31;6.01.06;Rendimento de Aplicações Financeiras;351.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2011-01-01;2011-12-31;6.01.07;Pagametos de Encargos da Dívida;-975.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2012-01-01;2012-12-31;6.01.07;Pagametos de Encargos da Dívida;-2535.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2011-01-01;2011-12-31;6.01.08;Dividendos e Juros sobre Capital Próprio Recebidos;35335.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2012-01-01;2012-12-31;6.01.08;Dividendos e Juros sobre Capital Próprio Recebidos;22012.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2011-01-01;2011-12-31;6.01.09;Impostos e Contribuições;-8825.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2012-01-01;2012-12-31;6.01.09;Impostos e Contribuições;-6815.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2011-01-01;2011-12-31;6.01.10;Encargos Setoriais;0.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2012-01-01;2012-12-31;6.01.10;Encargos Setoriais;0.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2011-01-01;2011-12-31;6.01.11;Outras Despesas;-1642.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2012-01-01;2012-12-31;6.01.11;Outras Despesas;-5540.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2011-01-01;2011-12-31;6.02;Caixa Líquido Atividades de Investimento;-25571.0000000000;S
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2012-01-01;2012-12-31;6.02;Caixa Líquido Atividades de Investimento;-204516.0000000000;S
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2011-01-01;2011-12-31;6.02.01;Aquisição de Imobilizado;0.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2012-01-01;2012-12-31;6.02.01;Aquisição de Imobilizado;-12.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2011-01-01;2011-12-31;6.02.02;Alienação de Imobizado;0.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2012-01-01;2012-12-31;6.02.02;Alienação de Imobizado;0.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2011-01-01;2011-12-31;6.02.03;Aquisição de Investimentos;-71.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2012-01-01;2012-12-31;6.02.03;Aquisição de Investimentos;0.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2011-01-01;2011-12-31;6.02.04;Alienação de Investimentos;0.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2012-01-01;2012-12-31;6.02.04;Alienação de Investimentos;0.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2011-01-01;2011-12-31;6.02.05;Adiantamento para Futuro Aumento de Capital;-25500.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2012-01-01;2012-12-31;6.02.05;Adiantamento para Futuro Aumento de Capital;-204504.0000000000;N
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2011-01-01;2011-12-31;6.03;Caixa Líquido Atividades de Financiamento;12826.0000000000;S
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2012-01-01;2012-12-31;6.03;Caixa Líquido Atividades de Financiamento;275644.0000000000;S
00.070.698/0001-11;2012-12-31;2;CIA ENERGETICA DE BRASILIA;014451;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2011-01-01;2011-12-31;6.03.01;Dividendos e Juros Sobre Capital Proprios Pagos;0.0000000000;N
